沙角台高，乱帆收向天边。	广州沙角炮台高高耸立，外国走私鸦片的船都远远地躲开了。
浮槎漫许陪霓节，看澄波、似镜长圆。	使臣正常活动的船只，还在清澈平静的水面上来往。
更应传，绝岛重洋，取次回舷。	英侵略军舰和贩运鸦片的大船，由于中国人民反击的胜利，都一一地走开了。
草长莺飞二月天，拂堤杨柳醉春烟。	农历二月，青草渐渐发芽生长，黄莺飞来飞去，轻拂堤岸的杨柳陶醉在春天的雾气中。
儿童散学归来早，忙趁东风放纸鸢。	村里的孩子们早早就放学回家，赶紧趁着东风把风筝放上蓝天。
牧笛声中踏浅沙，竹篱深处暮烟多。	在牧笛声中走在乡间沙子路上，用竹子做的篱笆的人家已经开始开火做饭了。
垂髫村女依依说，燕子今朝又作窠。	村里一群不束发的女童在交流着，今年燕子又在谁家筑巢了。
一叶西风里，催程曙色微。	我在早行时，自己好像就像一片叶子飘落在西风中，天刚刚蒙蒙亮，就被催着上路。
水流残梦急，帆带落星飞。	水流声伴着残梦，急急前行，船帆像带着星子一样，飞在空中。
宿鸟未离树，寒潮欲上矶。	鸟儿还未醒来，寒潮不断地涌上石滩。
江湖无远近，莫问几时归。	江湖无远近，不要问我何时归来。
寸寸微云，丝丝残照，有无明灭难消。照断魂魂断，闪闪摇摇。望望山山水水，人去去，隐隐迢迢。从今后，酸酸楚楚，只似今宵。	暮霭沉沉，夕阳低低，天空的浮云消消长长，落日微光忽明忽暗。你行将远去，我心中愁绪实在难消。真教人肝肠寸断啊，连精神也恍惚起来。望着远近的山山水水，送了你一程又一程，你终于走出视野，只剩下隐隐青山，迢迢绿水。从今往后，我内心将满是辛酸苦痛，再也忘不了令人心碎的今宵。
青遥。	长天青碧高远，你的行踪谁人知晓？问天天不应，可怜我柔柔弱弱无依无靠。
问天不应，看小小双卿，袅袅无聊。	谁知我辛辛苦苦？谁怜我嫩嫩娇娇？没有欢欢喜喜，只有彻骨的思念无尽无了；一个人偷来素粉，在红叶上写写描描。
更见谁谁见，谁痛花娇？谁望欢欢喜喜，偷素粉，写写描描？谁还管，生生世世，夜夜朝朝。	我愿就此思念下去，哪管它生生世世，夜夜朝朝。
碧尽遥天，但暮霞散绮，碎剪红鲜。听时愁近，望时怕远，孤鸿一个，去向谁边。素霜已冷芦花渚，更休倩、鸥鹭相怜。暗自眠。凤凰纵好，宁是姻缘。	长天的碧蓝铺到天边，晚霞如彩绸，无比鲜妍。一只落伍的孤雁叫声凄切，我害怕它飞近，又渴望它留在我的身边。芦花洲边，白霜已满地，更不要请鸥鹭来怜惜，它们命运惨苦同病相怜。还是暗暗自眠，不要存非分之想，凤凰纵然美丽、高雅，但却不能与之结为婚姻。
凄凉劝你无言。趁一沙半水，且度流年。稻梁初尽，网罗正苦，梦魂易警，几处寒烟。断肠可似婵娟意，寸心里、多少缠绵。夜未闲，倦飞误宿平田。	满心凄凉奉劝孤雁，不如守一沙半水，暂且度过这易逝的年华。稻粱刚刚割尽，狩猎者的罗网已张起，处处有陷阱，即使在睡梦之中，也要警惕。你极度伤心愁断肠，可知我内心也缠绵？夜里也得不到休息，误宿在危机四伏的田地里。
春不见，寻过野桥西。	春天你在哪里？我寻你已过野桥西。
染梦淡红欺粉蝶，锁愁浓绿骗黄鹂。	淡淡的红花如梦虚幻妄招粉蝶，苍翠绿树结着幽怨骗来黄鹂。
幽恨莫重提。	那埋藏在心里的深沉怨恨莫再提起。
人不见，相见是还非？拜月有香空惹袖，惜花无泪可沾衣。山远夕阳低。	如意人儿你在哪里？恍忽瞥见又似是而非。拜月求福的祈祷毫无效验，惜花飘零的泪水已无几滴。凝望远山残阳越来越低。
余忆童稚时，能张目对日，明察秋毫，见藐小之物必细察其纹理，故时有物外之趣。	我回想小的时候，能够张大眼睛对着太阳，能看清最细微的东西。我看见细小的东西，一定会去仔细地观察它的纹理，因此常有超出事物本身的乐趣。
夏蚊成雷，私拟作群鹤舞于空中，心之所向，则或千或百，果然鹤也；昂首观之，项为之强。	夏天蚊子的叫声像打雷一样，我把它们比作群鹤在空中飞舞，心里这么想，那成千成百的蚊子果然都变成仙鹤了；我抬着头看它们，脖颈都为此而变得僵硬了。
又留蚊于素帐中，徐喷以烟，使之冲烟而飞鸣，作青云白鹤观，果如鹤唳云端，为之怡然称快。	我又将几只蚊子留在素帐中，用烟慢慢地喷过去，让它们在烟雾中飞着叫着，我把它当做一幅青云白鹤的景观，果然就像鹤唳云端一样，我为这景象高兴地拍手叫好。
余常于土墙凹凸处，花台小草丛杂处，蹲其身，使与台齐；定神细视，以丛草为林，以虫蚁为兽，以土砾凸者为丘，凹者为壑，神游其中，怡然自得。	我常在土墙高低不平的地方，在花台杂草丛生的地方，蹲下身子，使自己和花台相平，聚精会神地观察，把草丛当做树林，把虫子、蚂蚁当做野兽，把土块凸出部分当做山丘，凹陷的部分当做山谷，全神贯注地沉浸在想象之中，心情愉悦自觉是一种满足。
一日，见二虫斗草间，观之，兴正浓，忽有庞然大物，拔山倒树而来，盖一癞虾蟆，舌一吐而二虫尽为所吞。	有一天，我看见两只小虫在草间相斗，蹲下来观察它们，兴趣正浓厚，忽然有个极大的家伙，掀翻山压倒树而来了，原来是一只癞蛤蟆，舌头一吐，两只虫子全被它吃掉了。
余年幼，方出神，不觉呀然一惊。	我那时年纪很小，正看得出神，不禁‘呀’的一声惊叫起来。
神定，捉虾蟆，鞭数十，驱之别院。	待到神情安定下来，捉住癞蛤蟆，鞭打了几十下，把它驱赶到别的院子里去了。
嘉庆四年，岁在己未，琉球国中山王尚穆薨。世子尚哲先七年卒，世孙尚温表请袭封。中朝怀柔远藩，锡以恩命，临轩召对，特简儒臣。	嘉庆四年，是己未年，琉球国中山王尚穆去世。世子尚哲先七年去世，世孙尚温上表，请求袭封。朝廷安抚远方藩国，赐给皇上的命令。皇帝不坐正殿而御前殿召见臣下令其回答有关政事、经义等方面的问题，特意选择儒臣。
于是，赵介山先生，名文楷，太湖人，官翰林院修撰，充正使；李和叔先生，名鼎元，绵州人，官内阁中书，副焉。介山驰书约余偕行，余以高堂垂老，惮于远游。继思游幕二十年，遍窥两戒，然而尚囿方隅之见，未观域外，更历纓溟之胜，庶广异闻。禀商吾父，允以随往。从客凡五人：王君文诰，秦君元钧，缪君颂，杨君华才，其一即余也。	在这，赵介山先生，名文楷，太湖人，官职是翰林院修撰，为正使。李和叔先生,名鼎元,绵州人；官职内阁中书,为副使。介山写信约我一起走，我因为父亲高堂年纪很老，害怕远游。继而又想在外作幕僚二十年，到处窥探两戒，而还囿于一地方的见识，没有看到外国。更经过瀴溟的胜利，期望更广泛的得到各种奇特见闻。禀报商议我的父亲，允许随着同去。随从的人共五人：王文诰、秦元钧、缪颂、杨华才，我即是其中之一。
五年五月朔日，随荡节以行，祥飙送风，神鱼扶舳，计六昼夜，径达所届。	五年五月初一日，随着振荡节以行，吉祥送风，神鱼扶大船，总计六昼夜，径直到达目的地。
凡所目击，成登掌录。	只要看到的，都登上掌握记录。
志山水之丽崎，记物产之瑰怪，载官司之典章，嘉士女之风节。	记录山水的美丽险要，记物产的奇特，记载着官府的典章，赞美士女的风度贞节。
文不矜奇，事皆记实。	文章不夸耀奇异，事情都记得真实。
自惭谫陋，饴测海之嗤；要堪传言，或胜凿空之说云尔。	自己很浅薄鄙陋，乐意留下测海的讥笑；要能忍受传说，或胜过凭空想象的说法。
寄吴汉槎宁古塔，以词代书，丙辰冬，寓京师千佛寺，冰雪中作。季子平安否？便归来，平生万事，那堪回首！行路悠悠谁慰藉，母老家贫子幼。记不起，从前杯酒。魑魅搏人应见惯，总输他，覆雨翻云手，冰与雪，周旋久。	你近来平安吗？即便你回来，回想以前令人悲债的事，你又怎能够承受！昔日朋友形同陌生的路人，又有谁安慰你？你母老家贫子幼，早记不起杯酒相娱的时侯。魑魅搏人的事应该司空见惯，正直人却总是输在覆雨翻云的小人之手。我们与寒冷的冰雪，打交道已经很久很久。
泪痕莫滴牛衣透，数天涯，依然骨肉，几家能够？比似红颜多命薄，更不如今还有。只绝塞，苦寒难受。廿载包胥承一诺，盼乌头马角终相救。置此札，君怀袖。	劝你不要让泪水把牛衣滴透。请你数一数天下的戌边人，仍旧和家人团聚二堂的，又有几家？比起早已冤死的红颜薄命人，更不如你如今生命还有。只是在那极远的边塞，四季冰雪的苦寒难受。你在边塞已经二十年，·我要像申包胥那样实现诺言，像燕丹盼归使乌头白马生角样，一定把你营救。我就以这首词代替书信，请你妥善保存不要忧愁。
我亦飘零久！十年来，深恩负尽，死生师友。	我也漂泊他乡很久。
宿昔齐名非忝窃，只看杜陵消瘦。	自中举十年来，我辜负了你的深厚恩情，未报答你这位生死之交的师友。
曾不减，夜郎僝僽。	从前你我齐名并非名不副实，试看曾为怀念李白而瘦的杜甫，忧闷不下于流放夜郎的李白。
薄命长辞知己别，问人生到此凄凉否？千万恨，为君剖。	我的夫人已经去世，又与知己的你分别，试问人生在世，到这步田地凄凉不？我将千种怨、万种恨，向你细细倾吐。
兄生辛未吾丁丑，共此时，冰霜摧折，早衰蒲柳。诗赋从今须少作，留取心魄相守。但愿得，河清人寿！归日急翻行戍稿，把空名料理传身后。言不尽，观顿首。	你生于辛未年我生于丁丑，都受了一些时间的冰雪摧残，已经成了早衰的蒲柳。劝你从今要少作词赋，多多保重与我长相守。但愿黄河变清人长寿。你归来定会急忙翻阅戍边时的诗稿，把它们整理出来传给后世，但也只是忧患在前空名在后。满心的话语说不尽，我在此向你行礼磕头。
乍展芭蕉。欲眠杨柳，微谢樱桃。谁把春光，平分一半，最惜今朝。	刚展开的芭蕉叶，好像要睡着似的杨柳，樱桃花稍有凋谢，是谁把春日时光分走了一半？还是珍惜现在的春光吧！
花前倍觉无聊。任冷落、珠钿翠翘。趁取春光，还留一半，莫负今朝。	独立花前只觉得更加寂寞无聊，珍珠簪子、翡翠头饰也丢在一边不想佩戴。你可要趁着现在春光还剩下一半，好好珍惜莫要辜负了我的青春年华。
天然一帧荆关画，谁打稿，斜阳下？历历水残山剩也。乱鸦千点，落鸿孤烟，中有渔樵话。	是谁在构思打稿，画出一帧像荆浩、关同所作的图画？那夕阳下，分明是残山剩水，上面乱鸦千点落鸿哀怨，渔樵们谈论着盛衰兴亡的闲话。
登临我亦悲秋者，向蔓草平原泪盈把。自古有情终不化。青娥冢上，东风野火，烧出鸳鸯瓦。	我登高临远，也不禁为秋景悲伤，对着平原野草热泪盈盈而下。自古以来有情者至死不化，你看那青娥墓下春风野火，也只是烧出鸳鸯双瓦。
嘹唳夜鸿惊，叶满阶除欲二更。	受惊的鸿雁的在凄清夜晚哀鸣，落叶飘满整个台阶，此时已快到夜半二更时分。
一派西风吹不断，秋声，中有深闺万里情。	萧瑟生寒的西风呼啸，听着这秋天特有的声音，闺中人还在不停的捣衣，一声声寄寓着对丈夫的思念和关切。
片石冷于冰，雨袖霜华旋欲凝。	夜深了，冰冷的片石、湿水的衣袖像要结霜凝固。
今夜戍楼归梦里，分明，纤手频呵带月迎。	今夜远戍边关之人在那归乡的梦中，可以清楚的看到，梦里妻子呵手出迎，迎接他的归来。
为问郁然孤峙者，有谁来、雪天月夜。五岭南横，七闽东距，终古江山如画。	请问你这忧伤沉闷的孤峙者，除了我，还有谁到这里凭吊，在这降雪天气的月下？放眼望，五岭在南边横卧，七闽之地就在东边，江山不管人间兴亡，永远都是美丽如画。
百感茫茫交集也，淡忘归、夕阳西挂。尔许雄心，无端客泪，一十八滩流下。	面对台下的茫茫江水，我禁不住百感交集。我凝神站立忘了归去，不知不觉中夕阳已在西天悬挂。想到如此雄心不能实现，不由自主地落下了泪，泪水随着十八滩的江水流下。
月黑见渔灯，孤光一点萤。	漆黑无月的夜里，河面上飘着一艘渔船，孤独的灯光像是一点萤火。
